name,country,institution,dblp,pid,final_url,expertise
chee-yong chan,singapore,national university of singapore,https://dblp.uni-trier.de/pers/c/Chan:Chee_Yong.html,c-CheeYongChan,https://dblp.uni-trier.de/pid/c/CheeYongChan.html,5
chen li,united states,uc irvine,https://dblp.org/pid/l/ChenLi1.html,l-ChenLi1,https://dblp.org/pid/l/ChenLi1.html,3
chen wang,china,,https://dblp.org/pid/82/4206-11.html,82-4206-11,https://dblp.org/pid/82/4206-11.html,5
chen xiuying,china,wuhan university,https://dblp.org/pers/hd/c/Chen:Xiuying,33-11343,https://dblp.org/pid/33/11343.html,7
cheng long,singapore,nanyang technological university,https://dblp.org/pers/l/Long:Cheng.html,58-10813,https://dblp.org/pid/58/10813.html,7
cheng yang,china,bupt,https://dblp.uni-trier.de/pid/49/1457-2.html,49-1457-2,https://dblp.uni-trier.de/pid/49/1457-2.html,6
chengfei liu,australia,swinburne university of technology,https://dblp.org/pers/l/Liu:Chengfei.html,l-ChengfeiLiu,https://dblp.org/pid/l/ChengfeiLiu.html,7
chenggang wu,united states,uc berkeley,https://dblp.uni-trier.de/pid/51/3529-1.html,51-3529-1,https://dblp.uni-trier.de/pid/51/3529-1.html,6
chengkai li,united states,the university of texas at arlington,https://dblp.org/pid/14/3692.html,14-3692,https://dblp.org/pid/14/3692.html,5
chengkai li,united states,ut arlington,https://dblp.org/pid/14/3692.html,14-3692,https://dblp.org/pid/14/3692.html,1
chengkai li,united states,ut arlington,https://dblp.org/pid/14/3692.html,14-3692,https://dblp.org/pid/14/3692.html,5
chenliang li,china,wuhan university,https://dblp.org/pers/l/Li:Chenliang.html,52-9457,https://dblp.org/pid/52/9457.html,1
chenyan xiong,united states,microsoft,https://dblp.org/pers/x/Xiong:Chenyan.html,18-10886,https://dblp.org/pid/18/10886.html,5
chi wang,united states,microsoft research,https://dblp.uni-trier.de/pid/09/404-1.html,09-404-1,https://dblp.uni-trier.de/pid/09/404-1.html,7
chih-ya shen,taiwan,national tsing hua university,https://dblp.uni-trier.de/pers/s/Shen:Chih=Ya.html,38-8845,https://dblp.uni-trier.de/pid/38/8845.html,3
chinya ravishankar,united states,"university of california, riverside",https://dblp.uni-trier.de/pers/r/Ravishankar:Chinya_V=.html,r-ChinyaVRavishankar,https://dblp.uni-trier.de/pid/r/ChinyaVRavishankar.html,6
chiranjib bhattacharyya,india,iisc,https://dblp.org/pers/b/Bhattacharyya:Chiranjib.html,b-CBhattacharyya,https://dblp.org/pid/b/CBhattacharyya.html,4
choiru zain,australia,latrobe university australia,https://dblp.org/pers/hd/z/Za=in:Choiru,198-4308,https://dblp.org/pid/198/4308.html,3
chris jermaine,united states,rice university,https://dblp.org/pers/j/Jermaine:Chris.html,j-ChrisJermaine,https://dblp.org/pid/j/ChrisJermaine.html,4
christian bizer,germany,university of mannheim,https://dblp.org/pers/b/Bizer:Christian.html,b-ChristianBizer,https://dblp.org/pid/b/ChristianBizer.html,1
christian jensen,denmark,aalborg university,https://dblp.uni-trier.de/pers/j/Jensen:Christian_S=.html,j-ChristianSJensen,https://dblp.uni-trier.de/pid/j/ChristianSJensen.html,3
